Twitter Hashtag used  : #Pakistan 
ID : 1 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 2 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 3 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 4 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
Twitter Hashtag used  : #Pakistan 
ID : 1 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 2 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 3 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 4 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 5 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 6 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 7 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 8 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 9 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 10 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 11 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 12 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 13 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 14 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 15 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 16 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 17 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 18 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 19 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 20 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
ID : 21 Twitter username : @python_develo, Comment : Twitter Auto Like, Comment & Retweet Bot, built in python https://youtu.be/ftDzpgJwBLc  
